% Object Names and Observation Date
Popular Object Name: RULup
Simbad Object Name(s): 2MASS J15564230-3749154|CD-37 10602|Gaia DR1 6010114553824198784|Gaia DR2 6010114558131195392|Gaia DR3 6010114558131195392|HBC 251|HD 142560|HIP 78094|IRAS 15534-3740|IRAS f15533-3740|Sz 83|THA 15-13|TYC 7838-00546-1|V* RU LUP|WISE a j155642.30-374915.7|Wray 15-1386
Observation Date: 2022-07-12 07:12:29.874116+00:00
Julian Observation Date: 2459772.800335648

% Reference and Citation
Principal Investigator for Primary Spectrum: A Banzatti
Reference for Primary Spectrum: Banzatti et al 2022
Spectrograph: ISHELL
Reference for Spectroscopic Line Data: Hitran2016 molecular spectroscopic database (Gordon et al. 2017) at hitran.org
Data Prepared and Organized by: A Banzatti, C Wheeler, SpExoDisks (4-2025)
SpExoDisks Backend written by: Dr Caleb Wheeler (chw3k5@gmail.com), Underground Instruments

% Online Database
Downloadable: True

% Spectrum Context
Spectral Flux: Calibrated (Jansky)
Spectral Wavelength/Velocity Reference Frame: HELIO
Wavelength Units: um=10^-6 meters
Wavelength Range: (4.516609936576374 um, 5.2322119643595695 um)

% Flux Calibration
# The Primary Spectrum is Flux Calibrated using the following
flux_cal,flux_cal_error,wavelength_um,ref
1.7,0.11,4.6,allWISE

% Spectroscopic Line Data
wavelength_um,molecule,isotopologue,transition,upper_level,lower_level,frequency_GHz,einstein_A,upper_level_energy,lower_level_energy,g_statistical_weight_upper_level,g_statistical_weight_lower_level
4.531488660796036,987.5834682101954,nan,7.0533905029296875
4.53150773302705,988.8493979883998,nan,6.391143321990967
4.531526805258063,990.1153277665452,nan,261.51751708984375
4.531545400683302,991.3496093002973,nan,189.6935272216797
4.531564472914316,992.6155390785018,nan,429.1358642578125
4.531583068339555,993.8498206122541,nan,1731.2235107421875
4.531602140570568,995.1157503903995,nan,465.39154052734375
4.531620735995807,996.3500319241517,nan,10.787025451660156
4.531639808226821,997.6159617023561,nan,9.62446117401123
4.531658880457835,998.8818914805605,nan,6.111852169036865
4.531677475883073,1000.1161730142538,nan,7.793842315673828
4.531696548114087,1001.3821027924581,nan,7.308027267456055
4.5317151435393255,1002.6163843262103,nan,3.510776996612549
4.5317342157703395,1003.8823141044148,nan,1.790603756904602
4.531752811195577,1005.116595638108,nan,1.455092191696167
4.531771883426591,1006.3825254163125,nan,1.041703462600708
4.53179047885183,1007.6168069500649,nan,0.8992457985877991
4.531809551082843,1008.8827367282103,nan,0.6965587735176086
4.531828623313857,1010.1486665064147,nan,0.5975905656814575
4.531847218739096,1011.3829480401669,nan,0.5930401682853699
4.53186629097011,1012.6488778183711,2.637878656387329,0.4896078109741211
4.531884886395348,1013.8831593520645,2.014594793319702,0.4115874171257019
4.531903958626362,1015.1490891302689,1.5612930059432983,0.3673713803291321
4.531922554051601,1016.3833706640211,2.3257415294647217,0.341269314289093
4.531941626282615,1017.6493004422256,2.4613094329833984,0.33527225255966187
4.531960221707853,1018.8835819759189,2.835855484008789,0.3207940459251404
4.531979293938867,1020.1495117541233,2.9523160457611084,0.3301672637462616
4.5319978893641055,1021.3837932878755,2.8419716358184814,0.34440621733665466
4.532016961595119,1022.649723066021,2.944950819015503,0.38275042176246643
4.532035557020357,1023.8840045997731,3.0436251163482666,0.4697989225387573
4.5320546292513715,1025.1499343779776,2.536160469055176,0.5497159957885742
4.53207322467661,1026.3842159117298,2.949906587600708,0.5413346886634827
4.532092296907623,1027.6501456898752,3.2119293212890625,0.4848767817020416
4.532110892332862,1028.8844272236274,3.6159074306488037,0.392156183719635
4.532129964563876,1030.150357001832,3.6184351444244385,0.31716832518577576
4.532148559989115,1031.3846385355841,4.062711238861084,0.3173489570617676
4.532167632220128,1032.6505683137295,4.050655364990234,0.26073822379112244
4.532186227645367,1033.8848498474817,3.7157440185546875,0.1976369470357895
4.532205299876381,1035.150779625686,3.837052345275879,0.18686693906784058
4.532223895301619,1036.3850611593793,4.074812889099121,0.18387766182422638
4.532242967532633,1037.6509909375839,4.106001377105713,0.18622635304927826
4.5322615629578715,1038.885272471336,4.1878581047058105,0.18547767400741577
4.532280635188886,1040.1512022495406,4.390103340148926,0.18780820071697235
4.532299230614123,1041.385483783234,4.498995780944824,0.18789483606815338
4.532317826039362,1042.619765316986,4.299237251281738,0.19262701272964478
4.532336898270376,1043.8856950951904,4.190430641174316,0.19166728854179382
4.532355493695615,1045.1199766289426,4.318378448486328,0.19433264434337616
4.532374565926628,1046.385906407088,4.304522514343262,0.20248939096927643
4.532393161351867,1047.6201879408402,3.9575035572052,0.2149861752986908
4.532412233582881,1048.8861177190447,3.6396148204803467,0.22611349821090698
4.532430829008119,1050.120399252738,3.6481499671936035,0.25585076212882996
4.532449901239133,1051.3863290309423,3.5364463329315186,0.3154783844947815
4.532468496664372,1052.6206105646945,3.3710994720458984,0.39164212346076965
4.53248709208961,1053.854892098447,3.050689220428467,0.4998314380645752
4.5325061643206235,1055.1208218765923,3.1714940071105957,0.708282470703125
4.532524759745862,1056.3551034103446,nan,0.8148811459541321
4.532543831976876,1057.6210331885488,nan,0.7831373810768127
4.532562427402114,1058.8553147222424,3.184635639190674,0.6609885692596436
4.532581499633128,1060.1212445004467,3.3332512378692627,0.48840969800949097
4.532600095058367,1061.3555260341989,3.156170606613159,0.36762017011642456
4.532618690483606,1062.5898075679513,2.835362672805786,0.29929396510124207
4.532637762714619,1063.8557373460965,3.0336742401123047,0.24770762026309967
4.532656358139858,1065.0900188798487,2.982339382171631,0.21545390784740448
4.532675430370872,1066.355948658053,2.8335893154144287,0.1944420039653778
4.53269402579611,1067.5902301918054,2.8248260021209717,0.18364769220352173
4.532712621221348,1068.8245117254987,2.846890926361084,0.17887595295906067
4.532731693452362,1070.0904415037032,2.785306453704834,0.1722738891839981
4.532750288877601,1071.3247230374554,2.84035325050354,0.17007069289684296
4.532769361108614,1072.5906528156008,2.8843283653259277,0.1694844663143158
4.532787956533853,1073.8249343493533,2.726665735244751,0.16862773895263672
4.532806551959092,1075.0592158831053,2.4193270206451416,0.1708585023880005
4.532825624190106,1076.3251456613095,2.5845494270324707,0.17936532199382782
4.532844219615344,1077.559427195003,2.717275619506836,0.18598632514476776
4.532862815040582,1078.793708728755,2.5957813262939453,0.1997903734445572
4.532881887271596,1080.0596385069596,2.6351780891418457,0.21198900043964386
4.532900482696835,1081.2939200407118,2.546934127807617,0.26108166575431824
4.532919078122073,1082.528201574405,2.1395602226257324,0.29150936007499695
4.532938150353087,1083.7941313526094,1.954307198524475,0.27637168765068054
4.532956745778326,1085.0284128863616,2.29009747505188,0.31701603531837463
4.532975341203564,1086.262694420055,2.238982677459717,0.34506872296333313
4.532994413434578,1087.5286241982594,1.977470874786377,0.3766799569129944
4.533013008859816,1088.7629057320116,2.273759365081787,0.4184609651565552
4.5330320810908304,1090.028835510216,2.793565273284912,0.46392759680747986
4.533050676516068,1091.2631170439095,2.705159902572632,0.520889937877655
4.533069271941307,1092.4973985776614,nan,0.6256488561630249
4.533087867366546,1093.7316801114139,nan,0.7557886838912964
4.533106939597559,1094.9976098895593,nan,1.0431350469589233
4.533125535022798,1096.2318914233113,nan,1.2998265027999878
4.533144130448036,1097.4661729570637,nan,1.43647301197052
4.5331632026790505,1098.7321027352682,nan,2.0062782764434814
4.533181798104288,1099.9663842689613,nan,4.228425025939941
4.533200393529527,1101.2006658027137,nan,5.461441993713379
4.533219465760541,1102.466595580918,nan,138.9223175048828
4.533238061185779,1103.7008771146116,nan,204.47401428222656
4.533256656611018,1104.9351586483635,nan,47.3343391418457
4.533275728842032,1106.201088426568,nan,8.159960746765137
4.5332943242672705,1107.4353699603203,nan,30.11556053161621
4.533312919692508,1108.6696514940134,nan,10.945996284484863
4.533331515117747,1109.9039330277658,nan,15.138595581054688
4.533350587348761,1111.16986280597,nan,221.1594696044922
4.533369182773999,1112.4041443396634,nan,479.2911376953125
4.533387778199238,1113.6384258734156,nan,34.574424743652344
4.533406850430252,1114.90435565162,nan,46.123207092285156
4.533425445855491,1116.1386371853723,nan,13.936924934387207
4.533444041280728,1117.3729187190654,nan,8.506854057312012
4.533462636705967,1118.6072002528176,nan,13.633439064025879
4.533481708936981,1119.8731300310224,nan,36.82191467285156
4.53350030436222,1121.1074115647743,nan,584.1361083984375
4.533518899787458,1122.3416930984679,nan,781.6190185546875
4.5335374952126966,1123.5759746322199,nan,17.874284744262695
4.533556567443711,1124.8419044104244,nan,10.430744171142578
4.5335751628689485,1126.0761859441177,nan,8.413259506225586
4.533593758294187,1127.3104674778697,nan,108.18733978271484
4.533612353719426,1128.5447490116221,nan,54.19189453125
4.53363142595044,1129.8106787898264,nan,138.4183349609375
4.533650021375678,1131.0449603235197,nan,27.683063507080078
4.533668616800917,1132.279241857272,nan,15.802876472473145
4.533687212226155,1133.5135233910241,nan,8.458976745605469
4.533705807651393,1134.7478049247177,nan,3.1301159858703613
4.533724879882407,1136.013734702922,nan,1.6284058094024658
4.533743475307646,1137.2480162366742,nan,1.2079343795776367
4.533762070732885,1138.4822977704264,nan,1.0001473426818848
4.533780666158123,1139.7165793041195,nan,0.8403657078742981
4.533799738389137,1140.9825090823242,nan,0.6259075403213501
4.533818333814375,1142.2167906160762,2.161033868789673,0.4988817870616913
4.533836929239613,1143.4510721497697,2.0032999515533447,0.43218424916267395
4.533855524664852,1144.6853536835217,1.7563621997833252,0.37526634335517883
4.533874120090091,1145.9196352172742,2.072582483291626,0.3214930295944214
4.533893192321105,1147.1855649954784,1.710211157798767,0.29763585329055786
4.533911787746343,1148.4198465291715,1.867874264717102,0.270344078540802
4.533930383171581,1149.654128062924,2.2752621173858643,0.24860206246376038
4.53394897859682,1150.8884095966762,2.199802875518799,0.22975850105285645
4.533967574022058,1152.1226911303695,2.3275139331817627,0.23904001712799072
4.533986169447297,1153.3569726641217,2.1875336170196533,0.23800671100616455
4.534005241678311,1154.622902442326,1.9029794931411743,0.2082732617855072
4.5340238371035495,1155.8571839760784,1.8307875394821167,0.19932030141353607
4.534042432528787,1157.0914655097715,1.7122771739959717,0.20488810539245605
4.534061027954026,1158.3257470435237,1.8903776407241821,0.2010529786348343
4.534079623379265,1159.560028577276,1.9323588609695435,0.19034500420093536
4.534098218804503,1160.7943101109693,2.098254680633545,0.19047822058200836
4.534117291035517,1162.0602398891738,1.835111379623413,0.1907210350036621
4.5341358864607555,1163.2945214229262,2.0468907356262207,0.19550946354866028
4.534154481885994,1164.5288029566782,2.0350215435028076,0.20735928416252136
4.534173077311232,1165.7630844903717,2.192570686340332,0.22556151449680328
4.534191672736471,1166.9973660241237,1.8249999284744263,0.25104132294654846
4.53421026816171,1168.2316475578762,1.730705738067627,0.29131507873535156
4.534228863586947,1169.4659290915693,1.773356318473816,0.3488062918186188
4.5342479358179615,1170.7318588697735,nan,0.46711114048957825
4.5342665312432,1171.966140403526,nan,0.7130675911903381
4.534285126668439,1173.2004219372782,nan,1.0734539031982422
4.534303722093677,1174.4347034709715,nan,1.484439730644226
4.534322317518916,1175.6689850047235,nan,1.7274181842803955
4.534340912944154,1176.903266538476,nan,1.8397855758666992
4.534359508369392,1178.1375480721692,nan,1.6568129062652588
4.534378103794631,1179.3718296059217,nan,2.352801561355591
4.53439669921987,1180.6061111396734,nan,3.0462660789489746
4.534415771450884,1181.872040917878,nan,3.053290367126465
4.534434366876122,1183.1063224515713,nan,1.533177375793457
4.53445296230136,1184.3406039853235,nan,0.710808515548706
4.534471557726599,1185.5748855190757,2.1219890117645264,0.41245216131210327
4.534490153151837,1186.809167052769,1.7591006755828857,0.2826347351074219
4.534508748577076,1188.0434485865214,1.9162585735321045,0.22394536435604095
4.534527344002314,1189.2777301202739,1.6075438261032104,0.2149580717086792
4.534545939427552,1190.512011653967,1.6350131034851074,0.19083046913146973
4.534564534852791,1191.7462931877192,2.0470476150512695,0.15930521488189697
4.53458313027803,1192.9805747214714,2.0610158443450928,0.15522287786006927
4.5346017257032685,1194.2148562552236,2.0558390617370605,0.153939351439476
4.534620321128506,1195.4491377889167,1.8794403076171875,0.1568940132856369
4.534638916553745,1196.6834193226691,1.7814561128616333,0.15434248745441437
4.534657988784759,1197.9493491008736,1.8729640245437622,0.14847226440906525
4.534676584209997,1199.1836306345667,1.874441385269165,0.15070945024490356
4.534695179635236,1200.4179121683192,1.776365876197815,0.15736643970012665
4.5347137750604745,1201.6521937020711,1.914063811302185,0.16555553674697876
4.534732370485713,1202.8864752358236,2.037871837615967,0.18340414762496948
4.534750965910951,1204.1207567695167,1.891014814376831,0.18996331095695496
4.53476956133619,1205.3550383032689,1.9836844205856323,0.17430783808231354
4.5347881567614285,1206.589319837021,1.7841997146606445,0.17656032741069794
4.534806752186666,1207.8236013707146,1.8773424625396729,0.17931267619132996
4.534825347611905,1209.0578829044669,2.137861728668213,0.17427995800971985
4.534843943037144,1210.2921644382188,1.9060040712356567,0.1784316897392273
4.534862538462382,1211.5264459719122,1.5798101425170898,0.19121189415454865
4.5348811338876205,1212.7607275056646,1.778556227684021,0.202554389834404
4.534899729312859,1213.9950090394166,1.756661295890808,0.21899132430553436
4.534918324738098,1215.229290573169,1.9439551830291748,0.2395821362733841
4.534936920163336,1216.463572106862,1.7607187032699585,0.2530840039253235
4.534955515588575,1217.6978536406145,1.5864797830581665,0.2685219645500183
4.534974111013813,1218.9321351743667,1.8281747102737427,0.28224143385887146
4.534992706439051,1220.1664167080598,2.2401552200317383,0.31495049595832825
4.53501130186429,1221.4006982418123,1.4774903059005737,0.3464862108230591
4.535029897289529,1222.6349797755643,1.5754021406173706,0.3852477967739105
4.535048492714767,1223.8692613093167,1.959191083908081,0.4455869495868683
4.535067088140005,1225.10354284301,nan,0.5414137840270996
4.535085683565244,1226.3378243767625,nan,0.6343656182289124
4.535104278990483,1227.5721059105144,nan,0.7342771291732788
4.535122874415721,1228.8063874442078,nan,1.0497636795043945
4.535141469840959,1230.04066897796,nan,1.3473727703094482
4.535160065266198,1231.2749505117122,nan,2.2408013343811035
4.535178660691436,1232.5092320454053,nan,5.012590408325195
4.535197256116675,1233.7435135791577,nan,4.47877836227417
4.535215851541913,1234.97779511291,nan,7.0558319091796875
4.535234446967152,1236.2120766466621,nan,206.47052001953125
4.53525304239239,1237.4463581803554,nan,47.45956039428711
4.535271637817629,1238.6806397141079,nan,13.878216743469238
4.5352902332428675,1239.91492124786,nan,92.56307220458984
4.535308828668105,1241.1492027815532,nan,385.1315612792969
4.535327424093344,1242.3834843153054,nan,28.750959396362305
4.5353455427128075,1243.5861176046053,nan,10.314932823181152
4.535364138138045,1244.8203991382989,nan,9.016860961914062
4.535382733563284,1246.054680672051,nan,19.42185401916504
4.535401328988523,1247.2889622058035,nan,92.13336181640625
4.535419924413762,1248.5232437395555,nan,16.760766983032227
4.5354385198389995,1249.7575252732488,nan,42.537837982177734
4.535457115264238,1250.991806807001,nan,178.50146484375
4.535475710689477,1252.2260883407532,nan,38.67702865600586
4.535494306114715,1253.4603698744463,nan,45.45822525024414
4.535512901539954,1254.6946514081988,nan,18.823606491088867
4.535531496965192,1255.9289329419512,nan,53.352840423583984
4.535550092390431,1257.1632144757032,nan,1377.1898193359375
4.535568687815669,1258.3974960093967,nan,1134.0634765625
4.535586806435132,1259.6001292986966,nan,170.6890106201172
4.535605401860371,1260.8344108324488,nan,37.880767822265625
4.535623997285609,1262.0686923661422,nan,23.175033569335938
4.535642592710848,1263.3029738998944,nan,16.61612319946289
4.535661188136086,1264.5372554336466,nan,6.731109619140625
4.535679783561324,1265.77153696734,nan,10.320232391357422
4.535698378986563,1267.0058185010923,nan,3.640782356262207
4.535716974411802,1268.2401000348445,nan,2.1087098121643066
4.5357355698370405,1269.4743815685965,nan,1.45768141746521
4.535753688456503,1270.6770148578378,nan,1.021710753440857
4.535772283881742,1271.9112963915898,nan,0.8497444987297058
4.5357908793069805,1273.1455779253422,nan,0.7354662418365479
4.535809474732218,1274.3798594590355,nan,0.5672557353973389
4.535828070157457,1275.614140992788,nan,0.47623640298843384
4.535846665582696,1276.84842252654,nan,0.41239333152770996
4.535865261007934,1278.0827040602333,nan,0.37408342957496643
4.535883379627397,1279.2853373495332,2.1521692276000977,0.3776155412197113
4.535901975052636,1280.5196188832854,1.880556344985962,0.36063143610954285
4.535920570477875,1281.7539004170378,2.061617612838745,0.34311673045158386
4.5359391659031125,1282.9881819507311,1.9769452810287476,0.35175880789756775
4.535957761328351,1284.2224634844833,1.9515869617462158,0.391364723443985
4.53597635675359,1285.4567450182356,2.3981950283050537,0.4301849603652954
4.535994475373053,1286.6593783074766,1.9017724990844727,0.44248753786087036
4.536013070798291,1287.893659841229,nan,0.5417476892471313
4.53603166622353,1289.1279413749812,nan,0.6556726098060608
4.536050261648768,1290.3622229086745,nan,1.0173144340515137
4.536068857074007,1291.5965044424265,nan,1.2574870586395264
4.536087452499245,1292.830785976179,nan,1.767951250076294
4.536105571118709,1294.0334192654789,nan,1.7584869861602783
4.536124166543947,1295.2677007991722,nan,1.8917021751403809
4.536142761969185,1296.5019823329246,nan,1.2920540571212769
4.536161357394424,1297.7362638666764,nan,0.6769404411315918
4.536179952819662,1298.97054540037,nan,0.44937780499458313
4.5361980714391255,1300.17317868967,1.6475669145584106,0.3462144136428833
4.536216666864364,1301.407460223422,1.4595521688461304,0.3089224100112915
4.536235262289602,1302.6417417571156,1.8090182542800903,0.25556665658950806
4.536253857714841,1303.8760232908678,1.845353126525879,0.19984610378742218
4.5362724531400795,1305.1103048246202,1.8476673364639282,0.1775101274251938
4.536290571759542,1306.3129381138613,1.9770169258117676,0.16366884112358093
4.536309167184781,1307.5472196476135,2.061825752258301,0.1525847464799881
4.53632776261002,1308.7815011813655,1.918666124343872,0.13965676724910736
4.536346358035258,1310.015782715118,1.7472163438796997,0.1305292397737503
4.536364476654721,1311.218416004359,1.7464158535003662,0.12553271651268005
4.53638307207996,1312.4526975381111,1.7062134742736816,0.121908999979496
4.536401667505198,1313.6869790718636,1.7811343669891357,0.12000273913145065
4.536420262930436,1314.9212606055569,1.8664746284484863,0.11811771988868713
4.5364383815499,1316.1238938948568,1.7150037288665771,0.11806326359510422
4.536456976975138,1317.3581754286092,1.7539775371551514,0.11877298355102539
4.536475572400376,1318.5924569623025,1.880202293395996,0.12640118598937988
4.536494167825615,1319.8267384960545,1.848859190940857,0.13073551654815674
4.536512286445078,1321.029371785355,2.024492025375366,0.13160526752471924
4.536530881870317,1322.2636533191069,2.141493797302246,0.13373778760433197
4.536549477295555,1323.4979348528002,2.047668933868408,0.13433977961540222
4.536568072720794,1324.7322163865524,1.840361475944519,0.13159136474132538
4.536586191340257,1325.9348496758525,1.7810953855514526,0.12384168803691864
4.536604786765495,1327.1691312095459,1.829566240310669,0.11769524961709976
4.536623382190734,1328.403412743298,1.8296163082122803,0.1152762770652771
4.5366419776159725,1329.6376942770503,1.9716076850891113,0.1116856262087822
4.536660096235435,1330.8403275662915,1.9892008304595947,0.1085541620850563
4.536678691660674,1332.0746091000437,1.772834062576294,0.10757487267255783
4.536697287085913,1333.308890633796,1.7181150913238525,0.10887051373720169
4.536715405705375,1334.5115239230372,1.786038875579834,0.10958956927061081
4.536734001130614,1335.7458054567892,1.7352896928787231,0.11170923709869385
4.536752596555853,1336.9800869905414,1.8789098262786865,0.11380700021982193
4.536771191981091,1338.2143685242936,1.8379014730453491,0.11816225945949554
4.536789310600554,1339.4170018135346,1.7391046285629272,0.12038170546293259
4.536807906025793,1340.651283347287,1.866733193397522,0.14466477930545807
4.536826501451031,1341.8855648810393,1.930863857269287,0.15283960103988647
4.536844620070494,1343.0881981702803,1.895084261894226,0.14353442192077637
4.536863215495733,1344.3224797040327,1.9869699478149414,0.15046431124210358
4.536881810920971,1345.5567612377847,1.6308091878890991,0.1627415418624878
4.536899929540434,1346.759394527026,1.7115651369094849,0.17431718111038208
4.536918524965673,1347.9936760607784,1.8211894035339355,0.187252938747406
4.5369371203909115,1349.2279575945304,1.8077157735824585,0.19850876927375793
4.536955239010374,1350.4305908837716,1.5193411111831665,0.21053621172904968
4.536973834435613,1351.6648724175238,1.719841480255127,0.2275376170873642
4.5369924298608515,1352.899153951276,1.6878926753997803,0.2560213506221771
4.537010548480315,1354.101787240576,1.651002287864685,0.2784118056297302
4.537029143905553,1355.3360687742693,1.74592924118042,0.2961204946041107
4.5370477393307915,1356.5703503080215,1.9092217683792114,0.34912070631980896
4.537065857950255,1357.7729835973216,1.7463017702102661,0.40643221139907837
4.537084453375493,1359.007265131015,2.0289323329925537,0.46622979640960693
4.537103048800732,1360.2415466647672,nan,0.5427530407905579
4.537121167420195,1361.4441799540673,nan,0.6799666285514832
4.537139762845433,1362.6784614877606,nan,0.9782503843307495
4.537157881464896,1363.8810947770608,nan,1.180107593536377
4.537176476890135,1365.1153763108127,nan,1.3808727264404297
4.537195072315373,1366.3496578445063,nan,1.6516149044036865
4.537213190934836,1367.5522911338062,nan,2.802100896835327
4.537231786360075,1368.7865726675584,nan,10.770370483398438
4.537250381785314,1370.0208542013106,nan,8.970226287841797
4.537268500404776,1371.2234874905519,nan,5.330892086029053
4.537287095830015,1372.457769024304,nan,9.65946102142334
4.5373052144494785,1373.6604023136042,nan,50.19830322265625
4.537323809874716,1374.8946838472975,nan,25.56717872619629
4.537342405299955,1376.1289653810497,nan,469.9849548339844
4.537360523919419,1377.3315986703496,nan,34.722618103027344
4.537379119344656,1378.5658802040432,nan,47.99285125732422
4.53739723796412,1379.768513493343,nan,16.19746971130371
4.537415833389359,1381.0027950270953,nan,9.050334930419922
4.5374344288145965,1382.2370765607889,nan,9.6937255859375
4.53745254743406,1383.4397098500888,nan,198.3896942138672
4.537471142859299,1384.673991383841,nan,365.3080139160156
4.537489261478761,1385.876624673082,nan,329.0785217285156
4.537507856904,1387.1109062068344,nan,545.2938842773438
4.537525975523463,1388.3135394961344,nan,60.58989715576172
4.537544570948702,1389.5478210298866,nan,107.6240463256836
4.53756316637394,1390.78210256358,nan,25.353689193725586
4.537581284993403,1391.98473585288,nan,6.974701404571533
4.537599880418642,1393.2190173866322,nan,8.84948444366455
4.537617999038105,1394.4216506758733,nan,8.128512382507324
4.537636594463343,1395.6559322096257,nan,31.203535079956055
4.537654713082807,1396.8585654989256,nan,6.903071880340576
4.537673308508045,1398.092847032619,nan,4.366598129272461
4.537691427127508,1399.2954803219188,nan,3.1722888946533203
4.537710022552747,1400.5297618556713,nan,2.240492343902588
4.537728617977985,1401.7640433893646,nan,2.6504948139190674
4.537746736597448,1402.9666766786645,nan,1.7972640991210938
4.537765332022687,1404.200958212417,nan,1.5902091264724731
4.5377834506421495,1405.403591501658,nan,1.6388983726501465
4.537802046067388,1406.6378730354102,nan,1.3542838096618652
4.537820164686852,1407.84050632471,nan,1.244795322418213
4.5378387601120895,1409.0747878584036,nan,1.5192896127700806
4.537856878731553,1410.2774211477038,nan,1.781069040298462
4.537875474156792,1411.5117026814557,nan,3.244479179382324
4.537893592776255,1412.7143359707557,nan,3.3358101844787598
4.537912188201493,1413.9486175044492,nan,4.112704753875732
4.537930306820956,1415.1512507937493,nan,4.315121173858643
4.537948902246195,1416.3855323275013,nan,2.976304769515991
4.537967020865658,1417.5881656167426,nan,1.5390502214431763
4.5379856162908965,1418.822447150495,nan,0.8669070601463318
4.53800373491036,1420.025080439795,nan,0.641040563583374
4.538022330335598,1421.2593619734882,nan,0.48513123393058777
4.538040448955061,1422.4619952627882,2.322291135787964,0.39059334993362427
4.5380590443803,1423.6962767965406,2.4160940647125244,0.3348301649093628
4.5380771629997625,1424.8989100857814,2.2255735397338867,0.28358739614486694
4.538095758425001,1426.1331916195338,2.145448923110962,0.2429945170879364
4.538113877044465,1427.335824908834,1.9765865802764893,0.21500371396541595
4.538131995663927,1428.5384581980752,1.9417182207107544,0.1945703625679016
4.538150591089166,1429.772739731827,2.202758550643921,0.17258962988853455
4.538168709708629,1430.9753730211273,2.176793336868286,0.1605445295572281
4.538187305133867,1432.2096545548206,1.909986972808838,0.15014386177062988
4.538205423753331,1433.4122878441208,2.07922625541687,0.1468006819486618
4.538224019178569,1434.646569377873,2.0367484092712402,0.1395103633403778
4.538242137798032,1435.849202667114,1.921221375465393,0.13202135264873505
4.538260733223271,1437.0834842008665,2.0010855197906494,0.12624727189540863
4.538278851842734,1438.2861174901664,2.14678692817688,0.12250158190727234
4.538297447267973,1439.5203990239186,1.9747065305709839,0.12016788125038147
4.5383155658874355,1440.7230323131596,2.0467183589935303,0.11955012381076813
4.538333684506899,1441.9256656024597,2.1348373889923096,0.12167172133922577
4.538352279932138,1443.159947136212,2.259758234024048,0.12767238914966583
4.5383703985516,1444.3625804254532,2.462347984313965,0.12679913640022278
4.538388993976839,1445.5968619592054,2.3803791999816895,0.1259000152349472
4.538407112596302,1446.7994952485055,2.21170711517334,0.12138566374778748
4.53842570802154,1448.0337767821989,2.327193260192871,0.13812625408172607
4.538443826641004,1449.2364100714988,2.446702241897583,0.13155092298984528
4.538461945260467,1450.439043360799,2.5587034225463867,0.11684127897024155
4.538480540685705,1451.673324894492,2.4138402938842773,0.11892382800579071
4.538498659305168,1452.8759581837924,2.4238526821136475,0.12542691826820374
4.538517254730407,1454.1102397175446,2.357658624649048,0.138487309217453
4.53853537334987,1455.3128730067858,2.621356964111328,0.15581749379634857
4.538553491969333,1456.5155062960857,2.712533712387085,0.18012350797653198
4.538572087394572,1457.749787829838,2.9763286113739014,0.22799429297447205
4.538590206014034,1458.952421119079,2.720679521560669,0.29848748445510864
4.538608801439273,1460.1867026528314,3.0809226036071777,0.3961736261844635
4.538626920058737,1461.3893359421313,2.7948474884033203,0.5236734747886658
4.538645038678199,1462.5919692313726,3.3806986808776855,0.49873289465904236
4.538663634103438,1463.8262507651245,3.4871809482574463,0.34409981966018677
4.538681752722901,1465.0288840544247,3.5399727821350098,0.28734585642814636
4.538699871342364,1466.2315173436657,3.4957799911499023,0.23719392716884613
4.538718466767603,1467.4657988774181,3.566033363342285,0.19050654768943787
4.538736585387066,1468.6684321667183,3.6645452976226807,0.16856734454631805
4.5387547040065295,1469.8710654560184,3.663723945617676,0.15124252438545227
4.538773299431767,1471.1053469897117,3.9974498748779297,0.14556747674942017
4.538791418051231,1472.3079802790116,3.8845486640930176,0.13859106600284576
4.5388100134764695,1473.5422618127639,4.03136682510376,0.13750050961971283
4.538828132095932,1474.7448951020049,4.185896396636963,0.13714206218719482
4.5388462507153955,1475.9475283913048,4.305830001831055,0.1387077271938324
4.538864846140634,1477.1818099250572,4.24644660949707,0.14032909274101257
4.538882964760097,1478.3844432142985,4.31569766998291,0.14422760903835297
4.53890108337956,1479.5870765035986,4.0399250984191895,0.14641542732715607
4.538919678804799,1480.8213580373508,3.953470468521118,0.15171107649803162
4.5389377974242615,1482.0239913265918,3.726221799850464,0.16036197543144226
4.538955916043725,1483.2266246158918,3.936568260192871,0.17022572457790375
4.538974511468964,1484.4609061496442,3.817816972732544,0.1798226684331894
4.538992630088426,1485.6635394388854,3.806137800216675,0.19489803910255432
4.53901074870789,1486.8661727281853,3.589492082595825,0.20896705985069275
4.539028867327353,1488.0688060174855,3.6716904640197754,0.22361919283866882
4.539047462752591,1489.3030875511786,3.4287185668945312,0.24394486844539642
4.539065581372054,1490.5057208404785,3.501950263977051,0.2740233540534973
4.539083699991518,1491.7083541297789,3.427004814147949,0.310792475938797
4.539102295416756,1492.9426356634722,3.501112699508667,0.35382288694381714
4.539120414036219,1494.1452689527723,2.622429847717285,0.4246845245361328
4.539138532655683,1495.3479022420722,2.657597780227661,0.47109875082969666
4.53915712808092,1496.5821837757655,3.2117488384246826,0.5951097011566162
4.539175246700384,1497.7848170650655,3.823265314102173,0.8028887510299683
4.539193365319847,1498.9874503543658,nan,1.1143921613693237
4.53921148393931,1500.1900836436066,nan,1.276283860206604
4.539230079364549,1501.424365177359,nan,1.779150366783142
